id,Title,Artist,Dynasty,CreditLine,Dimensions,ImgPath,ImgUrl,Materials,Description,Museum,PlaceOri,Inscribed,Classifications,Medium,OnlyArtist,main_start,main_end,sub_start,sub_end,periods
8,中国妇女的防染设计裙,,1880年至1930年,梁学培先生及余梁淑仪女士为纪念其父梁盘安先生及余天华博士而捐赠。,高37 1/4英寸 x 宽13英寸，高95厘米 x 宽33厘米,images/asian_chinese31.jpg,https://searchcollection.asianart.org/internal/media/dispatcher/8896/preview,缎子和锦缎搭配防染设计,,亚洲艺术博物馆,中国,,纺织品,,,1880.0,1930.0,,,
9,中国女人的裙子,,1880年至1930年,梁学培及余梁淑仪女士捐赠，以纪念其先父梁盘安及余天华博士。,高38 1/4英寸 x 宽14 1/4英寸，高97厘米 x 宽36厘米,images/asian_chinese32.jpg,https://searchcollection.asianart.org/internal/media/dispatcher/8897/preview,金线绣纱,,亚洲艺术博物馆,中国,,纺织品,,,1880.0,1930.0,,,
6,浅碗,,过渡期（约1600年至1650年）,艾弗里·布伦戴奇收藏,高4英寸×直径15英寸，高10.2厘米×直径38.1厘米,images/asian_chinese24.jpg,https://searchcollection.asianart.org/internal/media/dispatcher/17068/preview,白地青花红彩瓷,,亚洲艺术博物馆,中国福建省,,陶瓷,,,1600.0,1650.0,,,过渡期
4,鼻烟壶绘文人弈棋图,,清朝（1644-1911年），道光皇帝统治时期（1821-1850年）,罗伊·莱文特里特的礼物,H. 3英寸,images/asian_chinese12.jpg,https://searchcollection.asianart.org/internal/media/dispatcher/24230/preview,白釉下绘青花瓷器，带有轻微开片,,亚洲艺术博物馆,中国江西省景德镇,,陶瓷,,,1644.0,1911.0,1821.0,1850.0,清朝
7,代表中国灯笼，二选一,,清朝（1644-1911年），约1700-1850年,艾弗里·布伦戴奇收藏,高81.5英寸 x 宽22.5英寸,images/asian_chinese25.jpg,https://searchcollection.asianart.org/internal/media/dispatcher/20910/preview,木头,,亚洲艺术博物馆,中国,,装饰艺术,,,1644.0,1911.0,1700.0,1850.0,清朝
10,中国女子的百褶裙,,清朝（1644-1911年），约1875-1900年,梁学培及余梁淑仪女士捐赠，以纪念其先父梁盘安及余天华博士。,高36英寸×宽13英寸，高91厘米×宽33厘米,images/asian_chinese33.jpg,https://searchcollection.asianart.org/internal/media/dispatcher/8898/preview,金银线盘绣纱,,亚洲艺术博物馆,中国,,纺织品,,,1644.0,1911.0,1875.0,1900.0,清朝
5,中式鼻烟壶,,1800-1900,旧金山美术博物馆移交，伊莎贝拉·M·考威尔遗赠,高4 1/8英寸×宽2 5/8英寸×直径3/4英寸，高10.4厘米×宽6.5厘米×直径3/4厘米,images/asian_chinese23.jpg,https://searchcollection.asianart.org/internal/media/dispatcher/28205/preview,漆器镶嵌皂石、珍珠、珊瑚与螺钿,童子戏莲寓意多子多福。日本之所以开始制作中国风格的鼻烟壶，是因为收藏家对此需求旺盛。过去二十年的学术研究表明，这些鼻烟壶实际上是日本而非中国制造。,亚洲艺术博物馆,日本京都,,装饰艺术,,,1800.0,1900.0,,,
1,长码头：中国帆船,刘虹（美籍，1948年—2021年）,1996年,波士顿地产的礼物,整体尺寸：高54又3/16英寸 × 宽36又1/16英寸 × 深1又9/16英寸（137.6厘米 × 91.6厘米 × 4厘米）,images/asian_chinese4.jpg,https://searchcollection.asianart.org/internal/media/dispatcher/73896/preview,布面油画,"洪浩（Hung Liu）成长于中国毛泽东时代，接受社会主义现实主义绘画训练。1984年移民加利福尼亚后，她在加州大学圣地亚哥分校学习艺术。其画作常以历史照片为基底，通过标志性的晕染与滴溅技法，在""保存与破坏""间重构画面。这些作品重现了淘金热时期中国帆船的影像——这种配备全幅横帆的船舶曾在19世纪洲际贸易中扮演重要角色。作品标题《长码头》指向1848年旧金山建造的一处码头，现址已成为该市金融区。",亚洲艺术博物馆,,,绘画,,刘虹,1996.0,1996.0,,,
2,长码头：中国帆船,刘虹（美国，1948年－2021年）,1996年,波士顿地产的礼物,高54 1/4英寸 × 宽36英寸 × 深1 1/2英寸，高137.8厘米 × 宽91.4厘米 × 深3.8厘米,images/asian_chinese5.jpg,https://searchcollection.asianart.org/internal/media/dispatcher/73897/preview,布面油画,"洪浩（Hung Liu）成长于中国毛泽东时代，接受社会主义现实主义绘画训练。1984年她移民加利福尼亚，在加州大学圣地亚哥分校学习艺术。其画作常以历史照片为蓝本，通过标志性的水洗滴溅技法覆盖画面，实现""既保存又破坏""的效果。这些作品重现了淘金热时期中国帆船的照片——这种配备全幅卷帆的航船曾在19世纪洲际贸易中扮演重要角色。作品标题《长码头》指向1848年旧金山建造的一处码头，现址位于该市金融区。",亚洲艺术博物馆,,,绘画,,刘虹,1996.0,1996.0,,,
3,中国女性正式家居短外套,,清朝（1644-1911年），约1850-1911年,厄休拉·W·宾汉姆夫人捐赠,高39 3/4英寸 × 宽61 1/2英寸，高100.1厘米 × 宽156.2厘米,images/asian_chinese11.jpg,https://searchcollection.asianart.org/internal/media/dispatcher/66756/preview,丝绸织锦缎配刺绣缎纹丝领与饰带,"清代法律禁止满人穿汉服，但女性在款式上比男性有更多自由。这件袍服的款式表明它是汉族女性而非满族女性所穿：宽大的袖子与袍身沿中央接缝一体剪裁，立领领口，这些都是汉族服饰的常见细节。这件袍服还会搭配一条百褶裙——汉族女性的传统装束。袍身采用提花丝绸面料，织有八仙法器纹样：扇子、葫芦与铁拐、渔鼓、荷花、花篮或桃篮、宝剑与拂尘、阴阳板以及笛子。下摆和云肩处的白色缎子镶边上绣有女性从事各种高雅活动的图案，如""四艺""：弹琴、弈棋、读书和绘画。云肩是覆盖袍服领口和肩部的四卷曲云头纹饰，形似如意头，象征""事事如意""的祝福。",亚洲艺术博物馆,中国,,纺织品,,,1644.0,1911.0,1850.0,1911.0,清朝
