subject,predicate,object
8,尺寸是,高37 1/4英寸 x 宽13英寸，高95厘米 x 宽33厘米
8,材质是,缎子和锦缎搭配防染设计
8,现藏博物馆是,亚洲艺术博物馆
8,来源地是,中国
8,类型是,纺织品
9,尺寸是,高38 1/4英寸 x 宽14 1/4英寸，高97厘米 x 宽36厘米
9,材质是,金线绣纱
9,现藏博物馆是,亚洲艺术博物馆
9,来源地是,中国
9,类型是,纺织品
6,创造年代是,过渡期
6,尺寸是,高4英寸×直径15英寸，高10.2厘米×直径38.1厘米
6,材质是,白地青花红彩瓷
6,现藏博物馆是,亚洲艺术博物馆
6,来源地是,中国福建省
6,类型是,陶瓷
4,创造年代是,清朝
4,尺寸是,H. 3英寸
4,材质是,白釉下绘青花瓷器
4,材质是,带有轻微开片
4,现藏博物馆是,亚洲艺术博物馆
4,来源地是,中国江西省景德镇
4,类型是,陶瓷
7,创造年代是,清朝
7,尺寸是,高81.5英寸 x 宽22.5英寸
7,材质是,木头
7,现藏博物馆是,亚洲艺术博物馆
7,来源地是,中国
7,类型是,装饰艺术
10,创造年代是,清朝
10,尺寸是,高36英寸×宽13英寸，高91厘米×宽33厘米
10,材质是,金银线盘绣纱
10,现藏博物馆是,亚洲艺术博物馆
10,来源地是,中国
10,类型是,纺织品
5,尺寸是,高4 1/8英寸×宽2 5/8英寸×直径3/4英寸，高10.4厘米×宽6.5厘米×直径3/4厘米
5,材质是,漆器镶嵌皂石
5,材质是,珍珠
5,材质是,珊瑚与螺钿
5,现藏博物馆是,亚洲艺术博物馆
5,来源地是,日本京都
5,类型是,装饰艺术
1,创作者是,刘虹
1,尺寸是,整体尺寸：高54又3/16英寸 × 宽36又1/16英寸 × 深1又9/16英寸（137.6厘米 × 91.6厘米 × 4厘米）
1,材质是,布面油画
1,现藏博物馆是,亚洲艺术博物馆
1,类型是,绘画
2,创作者是,刘虹
2,尺寸是,高54 1/4英寸 × 宽36英寸 × 深1 1/2英寸，高137.8厘米 × 宽91.4厘米 × 深3.8厘米
2,材质是,布面油画
2,现藏博物馆是,亚洲艺术博物馆
2,类型是,绘画
3,创造年代是,清朝
3,尺寸是,高39 3/4英寸 × 宽61 1/2英寸，高100.1厘米 × 宽156.2厘米
3,材质是,丝绸织锦缎配刺绣缎纹丝领与饰带
3,现藏博物馆是,亚洲艺术博物馆
3,来源地是,中国
3,类型是,纺织品
11,创造年代是,清朝
11,尺寸是,高81.5英寸 x 宽17.5英寸；底部宽22.5英寸
11,材质是,木头
11,现藏博物馆是,亚洲艺术博物馆
11,来源地是,中国
11,类型是,装饰艺术
13,创造年代是,明朝
13,尺寸是,高11.5英寸×宽7.25英寸×深10英寸，高29.2厘米×宽18.4厘米×深25.4厘米
13,材质是,带有颜料痕迹的杨树
13,现藏博物馆是,亚洲艺术博物馆
13,来源地是,中国
13,类型是,雕塑
12,创造年代是,清朝
12,尺寸是,高38英寸 x 宽46英寸，高96.5厘米 x 宽116.7厘米
12,材质是,丝绸锦缎上的刺绣
12,现藏博物馆是,亚洲艺术博物馆
12,来源地是,中国
12,类型是,纺织品
15,创作者是,江伯宇
15,尺寸是,高18英寸×宽24英寸；高45.7厘米×宽61厘米（含框）
15,材质是,纸上墨迹
