Title,Artist,Place of Origin,Date,Material,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL,Unnamed: 16,Medium,Museum
Lidded incense burner (xianglu) with geometric decoration and narrative scenes,,"Henan or Hebei province, China",ca. 2nd century BCE,,H x W: 17.9 x 10 cm (7 1/16 x 3 15/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 18: Art and Industry: China's Ancient Houma Foundry,,,All_images1.0\image42.jpg,,,"Bronze with gold, silver, turquoise, and carnelian inlay",Smithsonian Institution
Vase,,"Jingdezhen, Jiangxi province, China",ca. 1700,,H x Diam: 26.3 × 11.7 cm (10 3/8 × 4 5/8 in),Gift of Mrs. Julia Curtis,,,Vessel,,,,,All_images\image3455.jpg,,,Porcelain with cobalt pigment under clear glaze,Smithsonian Institution
Jardiniere,,"Jingdezhen, Jiangxi province, China",1662-1722,,H x Diam: 17.8 × 21.7 cm (7 × 8 9/16 in),Gift of Helen D. Lally,,,Vessel,,,,,All_images1.0\image10156.jpg,,,Porcelain with cobalt pigment under clear glaze,Smithsonian Institution
Vase,,"Jingdezhen, Jiangxi province, China",mid 17th-early 18th century,,H x Diam: 26.8 × 11.3 cm (10 9/16 × 4 7/16 in),Gift of Helen D. Lally,,,Vessel,,,,,All_images1.0\image10157.jpg,,,Porcelain with cobalt pigment under clear glaze,Smithsonian Institution
Vase,,"Jingdezhen, Jiangxi province, China",mid 17th-early 18th century,,H x Diam: 47.2 × 20.6 cm (18 9/16 × 8 1/8 in),Gift of Helen D. Lally,,,Vessel,,,,,All_images1.0\image10158.jpg,,,Porcelain with cobalt pigment under clear glaze,Smithsonian Institution
"Foliated mirror with Chang’e (the Moon goddess), hare, toad, tree, and clouds",,China,8th century,Cast bronze,Diam x D: 14.9 x 0.9 cm (5 7/8 x 3/8 in),Gift of Charles Lang Freer,,,Mirror,,Freer Gallery 16: Center of the World: China and the Silk Road,,,new_images\FS-5994_09.jpg,https://ids.si.edu/ids/deliveryService?id=FS-5994_09,,,Smithsonian Institution
Stemmed wine cup with floral scrolls,,"Probably Xi’an, Shaanxi province, China",late 7th-early 8th century,Cast bronze with chased and ring-punched decoration and mercury gilding,H x W: 6.1 x 5.2 cm (2 3/8 x 2 1/16 in),Gift of Charles Lang Freer,,,Vessel,,Freer Gallery 16: Center of the World: China and the Silk Road,,,new_images\FS-7596_19.jpg,https://ids.si.edu/ids/deliveryService?id=FS-7596_19,,,Smithsonian Institution
Lateral stretcher from the base of a funerary couch with Sogdian musicians and a dancer,,"Probably Ce xian, Henan province, China",550-577,Grey marble with traces of pigment,H x W x D: 19.3 x 96.4 x 15.9 cm (7 5/8 x 37 15/16 x 6 1/4 in),Gift of Charles Lang Freer,,,Sculpture,,Freer Gallery 16: Center of the World: China and the Silk Road,,,new_images\FS-8084_07.jpg,https://ids.si.edu/ids/deliveryService?id=FS-8084_07,,,Smithsonian Institution
Frontal from the base of a funerary couch with Sogdian musicians and dancers and Buddhist divinities,,"Probably Ce xian, Henan province, China",550-577,Grey marble with traces of pigment,H x W x D: 60.3 x 234 x 23.5 cm (23 3/4 x 92 1/8 x 9 1/4 in),Gift of Charles Lang Freer,,,Sculpture,,Freer Gallery 16:Center of the World:China and the Silk Road,,,new_images\FS-6729_06.jpg,https://ids.si.edu/ids/deliveryService?id=FS-6729_06,,,Smithsonian Institution
"Lobed bowl with lotus petals, birds, animals, and floral scrolls",,"Probably Xi’an, Shaanxi province, China",late 7th-early 8th century,"Hammered silver with repoussé, chased, and ring-punched decoration and mercury gilding",H x Diam: 5.6 x 14.6 cm (2 3/16 x 5 3/4 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 16: Center of the World: China and the Silk Road,,Bowl (silver). Surface: oxidized; a patch of green aerugo. Decoration: a band of foliate design in low relief. Surfaces covered by a delicate ornament executed in fire-gilt; a medallion in fire-gilt ornament under the foot.,new_images\FS-6221_01.jpg,https://ids.si.edu/ids/deliveryService?id=FS-6221_01,,,Smithsonian Institution
Hinged cosmetic box in the form of a clam’s shell with birds and floral scrolls,,"Probably Xi’an, Shaanxi province, China",late 7th-early 8th century,Silver,H x W x D: 4.6 x 9.3 x 8.2 cm (1 13/16 x 3 11/16 x 3 1/4 in),Purchase — Charles Lang Freer Endowment,,,Container,,Freer Gallery 16: Center of the World: China and the Silk Road,,"Box in the form of a clam-shell; silver hinged. Surface: lustrous gray patina, somewhat worn; traces of earthy adhesions on the inside. Decoration: engraved; gold leaf applied to areas in the design.",new_images\FS-8085_13.jpg,https://ids.si.edu/ids/deliveryService?id=FS-8085_13,,,Smithsonian Institution
