Portfolio,Provenance Statement,Date,Signed,Period,(not entered),Artist,On View,Img_path,Markings,More Information,Inscribed,Dynasty,Classifications,Dimensions,Credit Line,Culture,Object number,Materials,Place of Origin,Department,Img_url,Title
,,probably 1596,,,,"Jan Huygen van Linschotten (Dutch, 1563 - 1611)",Not on view,images_china/asian_china1.jpg,,,,,Prints And Drawings,"H. 16 1/8 in x W. 22 1/4 in, H. 41 cm x W. 56.5 cm",Gift of David Salman and Walter Jared Frost,,2016.296,ink on paper,"Amsterdam, The Netherlands",Southeast Asian Art,https://searchcollection.asianart.org/internal/media/dispatcher/46760/preview,"Exacta & accurata delinatio cúm orarum maritimarum túm etjam locorum terrestrium quæ in regionibus China, Cauchinchina, Camboja, sive Champa, Syao, Malacca, Arracan & Pegu; (Map of) the exact and accurate deliniation of the maritime and terrestrial regions of China, Cochin-China, Cambodia, Champa, Siam, Malacca, Arrakan & Pegu"
,,1963,,,,"Chao Shao-an (Chinese, 1905 - 1998)",Not on view,images_china/asian_china2.jpg,,"This painting is based on a series of seashore scenes that Chao Shao-an sketched during the summer of 1960. On the painting Chao records his motivation for this work: ""In 1960 I traveled throughout the United States. I especially enjoyed China Cove and Bird Island at Carmel, California. At that time I made numerous quick sketches. This was one of the scenes. I completed this after my return home. Summer, fifth month, Guimao year [1963]. Shao-an at Hong Kong."" The painting's subject reflects the prevailing taste of Hong Kong–based artists for seashore scenes. The work also reveals Chao's ability to organize and structure the rocky coasts with various brushstrokes, conveying the rocks' texture and the movement of white seabirds in flight.","In 1960 I traveled throughout the United States. I especially enjoyed China Cove and Bird Island at Carmel, California. At that time I made numerous quick sketches. This was one of the scenes. I completed this after my return home. Guimao year (1963). Summer, fifth month. Shao-an at Hong Kong. This work is based on ChaoÆs sketches and recollections of his travels during the tour of his first American traveling exhibition.",,Painting,"Image: H. 24 1/4 in x W. 33 1/4 in, H. 61.6 cm x W. 84.5 cm; Overall: H. 28 7/8 in x W. 56 5/8 in, H. 73.3 cm x W. 143.8 cm;",Collection of Master Chao Shao-An,,1992.238,Ink and colors on paper,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/72280/preview,"China Cove, Carmel, California"
,,,,,,,Not on view,images_china/asian_china3.jpg,six-character mark in two columns,"This lotus scheme, three blossoms connected by sinuous scrolls, pervaded Song wares and has long been favored for blue-and-white table sets. On this piece, the conventional motif was set off by lotus scrolls around the interior rim and the exterior. On this refined shape, the monotone blue is no longer accented with the dramatic washes as in earlier time, following the taste of the Qing ruling class for highly decorated styles.",,"Qing dynasty (1644-1911), Reign of the Guangxu emperor (1875-1908)",Ceramics,"H. 1 1/2 in x Diam. 5 7/8 in, H. 3.8 cm x Diam. 14.9 cm",Gift of Archaeological Exhibition Delegation from the People's Republic of China,,B74P10,Porcelain with underglaze-blue decoration,"Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/27561/preview,Dish
,,August 1999,,,,"Au Ho-nien (Chinese, 1935 - 2024)",Not on view,images_china/asian_china4.jpg,,"現代歐玖年繪江河篔古流圖紙本痓綎 A student of Chao Shao-an, Ou Haonian delights in painting from life and often portrays local scenery during his world travels. He also uses famous poems as painting titles. The title here refers to a verse by the Tang dynasty poet Du Fu (712–770). As a gift to the Asian Art Museum, Ou Haonian painted this Chinese landscape from memory and composed the following commemorative poem: Lofty cliffs tower like lines of swords. Heavy sand buried iron weapons for thousands of years. The Yangzi River flows east, waves surging, How such a common scene gives pleasure to the hero! Jimao year [1999], midsummer, while in San Francisco I recalled my travels and painted this, and composed a verse to present to the Asian Art Museum as a gift to keep forever. Signed, Ou Haonian",,,Painting,"H. 90 in x W. 60 in, H. 228.6 cm x W. 152.4 cm",Gift of Professor Au Ho-nien with the coordination of the Government Information Office of the Republic of China,,F1999.44,Ink and colors on paper,,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/29952/preview,The River Flows Forever
,,probably 1100-1050 BCE,,,,,On view,images_china/asian_china5.jpg,,"Surviving Rhinos Only two bronze rhinoceroses are known to have survived from ancient China. (Similar bronze animals are shown on the wall projection.) The fantasy of the sacred rhinoceros continued in China for more than two thousand years. Artisans continued to make rhino-formed ritual vessels. Many were crafted with features like those of a deer or horse, but were still recorded in historical documents as a “rhinoceros vessel” or simply a mythical creature. The rhino shown at right from the early Western Han period (approx. 206–200 BCE) is a rare example of a vessel crafted true to the animal’s features. 小臣艅尊 商晚期 青銅 1843年 山東壽張縣梁山出土 Ritual vessel in the shape of a rhinoceros Probably 1100–1050 BCE China; unearthed in Liangshan, Shandong province Shang dynasty (approx. 1600–1050 BCE) Bronze The Avery Brundage Collection, B60B1+ The only known surviving bronze rhinoceros from the Shang dynasty. 錯金銀雲紋犀尊 西漢 青銅 1963年陝西興平縣出土 Ritual vessel in the shape of a rhinoceros China Western (Former) Han period (206 BCE–9 CE) Bronze with inlays of gold and silver National Museum of China, Beijing A later bronze in the shape of a rhinoceros. Rhinoceroses in Ancient China Can you imagine what rhinoceroses that lived three thousand years ago looked like? The vessel on display in this gallery depicts a two-horned Sumatran rhino that existed in ancient China and can also be found in a wide area of Southeast Asia. The fact that rhinoceroses lived in ancient China was confirmed in 1949, based on scientific analyses of the rhinoceros bones excavated in central China in the city of Anyang, where an archaeological site has yielded remains dating to the Shang dynasty (approx. 1600–1050 BCE). Early Chinese texts carved on ox bones and turtle shells used in divination during the Shang dynasty, known as oracle bones, mention rhinoceros hunts. Evidently capturing rhinoceroses and sacrificing them during rituals was a significant state event during the Bronze Age (approx. 2000–500 BCE). To successfully complete the king’s commission of this bronze sculpture, the craftsmen may have been shown an actual rhinoceros for study.","27-graph inscription cast into the inside of the rhinoceros' belly (inscription indicates that the object was made for storing ""money"" (shells)",Shang dynasty (approx. 1600-1050 BCE),Metal Arts,"H. 9 in x W. 9 in x D. 14 1/2 in, H. 22.8 cm x W. 22.8 cm x D. 32.8",The Avery Brundage Collection,,B60B1+,Bronze,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/49144/preview,Ritual vessel in the shape of a rhinoceros
,,2007,,,,"Wei Qicong (Chinese, b. 1956, Kunming, Yunnan province)",Not on view,images_china/asian_china6.jpg,Artist signed and dated,,,,Prints And Drawings,"H. 25 7/8 in x W. 27 7/8 in, H. 65.7 cm x W. 70.8 cm",Acquisition made possible by David and Linda Lei,,2008.58,"Waste woodblock print, oil-based inks on paper",,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/9254/preview,My Heart's Umbrella - I
,,dated 1984,,,,"Yang Yanping (Chinese, b. 1934)",Not on view,images_china/asian_china7.jpg,,"In China, the lotus in autumn symbolizes the endurance of the human spirit as well as purity of mind. It is among the topics most favored by Yang Yanping, an artist who suffered tremendously during the Cultural evolution (1966–1976). Yang graduated with a degree in architecture from Qinghua University in Beijing in 1958. She also studied oil painting and during the Cultural Revolution was commissioned to paint portraits of Chairman Mao Zedong. After the revolution Yang continued to paint in oils and by 1980 was considered one of China's leading artists in the medium. She also studied Chinese painting in ink and colors on paper, and her works of the mid-1980s reveal a combination of styles in these two mediums.",,,Painting,"H. 27 in x W. 53 1/2 in, H. 68.6 cm x W. 135.9 cm (image); H. 33 1/2 in x W. 66 3/8 in, H. 85.1 cm x W. 168.6 cm (overall)",Anonymous gift,,1998.56,Ink and colors on paper,,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/3352/preview,Autumn Lotus
,,1971,"“張爰之印”（白文方印）、“大千居士”（朱文方印）、“大千世界”（白文方印）、“得心應手”（朱文方印）。
Zhang Yuan zhi yin (square intaglio), Daqian jushi (square relief), Daqian shijie (square intaglio), dexin yingshou (square relief).",,,"Chang Dai-chien (Zhang Daqian; Chinese, 1899 - 1983)",Not on view,images_china/asian_china8.jpg,,"A twisted pine tree turns above a stone and stream surrounded by thick brush. The seal “from heart to hand” —from which this exhibition takes its subtitle — appears in the lower left corner of this roughly painted composition. It identifies this work as one in which the artist’s “eye” is missing from the more commonly heard “eye to hand” expression. In fact, Chang’s eyesight was severely diminished during this time. The painting is compellingly bold: the heavily textured pine with curling needles is delineated with strength and the verdant undergrowth bursts with vitality. At this point in Chang’s artistic development, eyesight was not a prerequisite for making dynamic works of art. And fortunately his eyesight eventually improved.","“梅沙彌嘗題其畫云：待五百年後人論定。其然, 豈其然乎? 矇叟爰辛亥閏五月可以居並識。”   
Plum monk [Wu Zhen, 1280-1354] once inscribed on his cloud painting: Let’s wait people to judge five hundred years later. It is true; can this not be true? Old man Yuan inscribed at Keyiju in the fifth lunar month of the xinhai year (1971).",,Painting,"H. 50 3/8 in × W. 25 1/2 in, H. 128 cm × W. 64.8 cm (image), H. 85 3/8 in × W. 33 1/4 in, H. 216.9 cm × W. 84.5 cm (overall)",Gift of the artist,,B75D1,Ink on paper,,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/27564/preview,Pine Tree and Stream
,,1962,"“季爰”（朱文方印）、“大千唯印大幸”（朱文方印）。
Jiyuan (square relief), Daqian weiyin daxin (square relief).",,,"Chang Dai-chien (Zhang Daqian; Chinese, 1899 - 1983)",Not on view,images_china/asian_china9.jpg,,"This elegant work balances a poetic inscription that places the reader inside a humid literati garden—with Chang Dai-chien’s note encouraging us to accept responsibility for tending the banana trees that encircled his house in Brazil—alongside a loose, reductive rendering of a banana tree with its leaves in various stages of unfurling. One fresh shoot projects skyward and is still tightly wound, while the broadly painted, fully extended leaves are sketched quickly with a big brush.","“ ‘手種芭蕉滿屋餘，清陰如水政須渠。殷勤囑付休輕剪，留與衰翁學草書。’ 壬寅四月朔一日，大千居士爰。”
‘Hand-planted banana tree leaves are full of the house, and their shadows bring coolness as if water running through the canal. I frequently reminded people not to cut those leaves, so that they could be saved for the old man to practice calligraphy of cursive writing.’ Hermit Daqian Yuan, on the first day of the fourth lunar month of the renyin year (1962).",,Painting,"H. 95 1/4 in x W. 38 3/8 in, H. 241.9 cm x W. 97.5 cm (overall);  H. 56 1/8 in x W. 28 1/2 in, H. 142.6 cm x W. 72.4 cm (image)",Gift of the artist,,B75D2,Ink on paper,,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/27565/preview,Banana Leaf
,,1970,"“三千”（白文方印）、“大千父”（朱文方印）、“一切惟心造”（朱文方印）、“大風堂”（朱文方印）。
Sanqian (square intaglio), Daqian fu (square relief), yiqie wei xin zao (square relief), Dafengtang (square relief).",,,"Chang Dai-chien (Zhang Daqian; Chinese, 1899 - 1983)",Not on view,images_china/asian_china10.jpg,,"This is one of Chang’s most amazing large-format splashed-ink paintings. Its trails of dynamic brush marks and unpredictable puddling and drips of ink effectively suggest a coastal mountain scene with clouds nestled into valleys, along with coves and cliffs at the water’s edge, an evocation of the natural environment in California. A masterful balancing act in which he simultaneously controls the media and lets the ink flow freely, it can be appreciated as an acknowledgment of the Buddhist understanding about the discipline of working with chaos. The poetic inscription tells us that the work was painted after midnight. Indeed, Chang frequently woke up in the middle of the night and headed to his studio. In the inscription, his description of the freedom achieved by overturning his ink container not only provides a glimpse of his process but also reveals the clever mind and exuberant personality that attracted so many friends.","“ ‘老夫夜半清興發，驚起妻兒睡夢間。翻倒墨池收不住，夏雲湧出一天山。’
五十九年庚戌歲八月五亭湖上寫，爰翁。”
‘I suddenly got inspired at midnight, startling my wife and children from their dreams. The ink container overturned and ink ran out of control, but a celestial mountain rapidly emerged from the summer clouds.’
Painted by the old man Yuan on the Five-Pavilion Lake, in the eighth lunar month of the gengxu year, or the 59th year (of the republican period).",,Painting,Framed: H. 59 5/8 in × W. 83 7/16 in × D. 1 1/4 in (150.2 cm × 211.9 cm × 3.2 cm) Image: H. 58 5/8 in × W. 82 7/16 in (147.6 cm × 209.4 cm),Gift of the artist,,B73D3,Ink on paper,,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/59024/preview,Clouded Mountains
