id,title,artist_display,date_display,place_of_origin,category_titles,description,medium_display,dimensions,provenance_text,exhibition_history,publication_history,credit_line,department_title,style_title,artwork_type_title,technique_titles,subject_titles,image_url,image_path
109569,Bull,China,"Ming dynasty (1368-1644), c.1400",China,Arts of Asia,"A work made of cast iron
standing on a two-tiered base, red, iron-rust patina.","Cast iron
Standing on a two-tiered base, red, iron-rust patina",9.7 × 12.4 × 6.9 cm (3 7/8 × 4 7/8 × 2 3/4 in.),,,,James W. and Marilynn Alsdorf Collection,Arts of Asia,,Sculpture,,,"https://www.artic.edu/iiif/2/b47fdd71-ba81-e539-d69d-2ab41133b1c4/full/843,/0/default.jpg",chinese_art_images\1.jpg
109888,Gathering at the Orchid Pavilion,Artist unknown (Chinese),Unknown,China,Arts of Asia,A work made of handscroll; ink and color on silk.,Handscroll; ink and color on silk,,,,,Gift of Mrs. Paul H. Holinger.,Arts of Asia,,Painting,,,"https://www.artic.edu/iiif/2/2ed49ca4-dfb1-dfcc-405d-527c9f813f9d/full/843,/0/default.jpg",chinese_art_images\2.jpg
110074,Panel (For a Screen),China,"Qing dynasty (1644–1911), 1875/1900",China,Textiles,"A work made of panels: silk, gold-leaf-over-lacquered-paper-strip-wrapped silk, silt tapestry weave; painted; border: silk, gold-leaf-over-lacquered-paper-strip-wrapped silk, slit tapestry weave; inner and outer border: silk, 4:1 warp-float satin weave; outer edging: silk, 7:1 warp-float faced satin weave; lining: cotton, plain weave.","Panels: silk, gold-leaf-over-lacquered-paper-strip-wrapped silk, silt tapestry weave; painted; border: silk, gold-leaf-over-lacquered-paper-strip-wrapped silk, slit tapestry weave; inner and outer border: silk, 4:1 warp-float satin weave; outer edging: silk, 7:1 warp-float faced satin weave; lining: cotton, plain weave",79.1 × 23.5 cm (31 1/8 × 9 1/4 in.),,,,Gift of Mrs. William J. Calhoun through The Antiquarian Society,Textiles,qing,Textile,,,"https://www.artic.edu/iiif/2/9d8e1dd7-f1af-ee58-54d8-16fa697738a9/full/843,/0/default.jpg",chinese_art_images\3.jpg
110278,Miniature Folding Chair (Mingqi),China,Ming dynasty (1368–1644),China,Arts of Asia,A work made of earthenware with green glaze and underglaze molded decoration.,Earthenware with green glaze and underglaze molded decoration,16.7 × 9.8 × 6.4 cm (6 9/16 × 3 7/8 × 2 1/2 in.),,,,Lucy Maud Buckingham Collection,Arts of Asia,Chinese (culture or style),Sculpture,,,"https://www.artic.edu/iiif/2/206aa168-8825-f672-f849-12b8d49b76d9/full/843,/0/default.jpg",chinese_art_images\4.jpg
110279,Miniature Folding Chair,China,Ming dynasty (1368–1644),China,Arts of Asia,A work made of earthenware with green glaze and underglaze molded decoration.,Earthenware with green glaze and underglaze molded decoration,17 × 10.4 × 6.7 cm (6 11/16 × 4 1/16 × 2 5/8 in.),,,,Lucy Maud Buckingham Collection,Arts of Asia,,Sculpture,,,"https://www.artic.edu/iiif/2/206aa168-8825-f672-f849-12b8d49b76d9/full/843,/0/default.jpg",chinese_art_images\5.jpg
110333,Green and Aubergine-glazed Dish (Susancai),China,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",China,Arts of Asia,A work made of stoneware painted in overglaze enamels.,Stoneware painted in overglaze enamels,6.6 × 35 cm (2 5/8 × 13 3/4 in.); Diam.: 35 cm (13 3/4 in.),,,,Bequest of Henry C. Schwab,Arts of Asia,Chinese (culture or style),Vessel,,,"https://www.artic.edu/iiif/2/8ea25e41-0633-1974-c891-20a394e86c69/full/843,/0/default.jpg",chinese_art_images\6.jpg
110823,"Chang E, The Moon Goddess","Artist unknown
Chinese","Yuan or early Ming dynasty, c. 1350/1440",China,Arts of Asia,A work made of album leaf (fan); ink and colors on silk.,Album leaf (Fan); ink and colors on silk,25.5 × 26.1 cm (10 1/16 × 10 5/16 in.),,"Chicago, IL, The Art Institute of Chicago, Taoism and the Arts of China, November 4, 2000-January 7, 2001, no. 101; Asian Art Museum of San Francisco,  February 21, 2001-March 13, 2001.

Paris, La voie du Tao: un autre chemin de l'etre, Galeries nationales, Grand Palais, March 29 - July 5, 2010.","Stephen Little with Shawn Eichman, Taoism and the Arts of China (Art Institute of Chicago/ University of California Press, 2000), cat. 101, p. 288.

La voie du Tao: un autre chemin de l'etre: Galeries nationales, Grand Palais, exhibition catalog by Paris: Reunion des musees nationaux: Musee Guimet, 2010， page345-352.",Samuel M. Nickerson Collection,Arts of Asia,Chinese (culture or style),Painting,,,"https://www.artic.edu/iiif/2/4ea62c44-945a-c3f4-71a8-61bd8480fb38/full/843,/0/default.jpg",chinese_art_images\7.jpg
110824,Woman with Female Servant in a Palace Garden,"Artist unknown
Chinese","Yuan or early Ming dynasty, late 14th/15th century",China,Arts of Asia,A work made of album leaf; ink and colors on silk.,Album leaf; ink and colors on silk,25 × 26 cm (9 7/8 × 10 1/4 in.),,,,Nickerson Collection of Oriental Art,Arts of Asia,Chinese (culture or style),Painting,,,"https://www.artic.edu/iiif/2/7a97d0d2-cf6a-e53f-2905-8e247fefbcba/full/843,/0/default.jpg",chinese_art_images\8.jpg
110866,Model of Stove,China,"Eastern Han dynasty, 25–220 CE",China,Arts of Asia,"<p>Under Han rule, tombs came to represent earthly dwellings whose furnishings illuminate many aspects of domestic life.  Burial models of stoves may have carried additional significance, as offerings were made to the hearth god during seasonal rites and festivities.  This model is particularly well equipped.  One end shows a fire door; the top has holes for caldrons or steamers and molded decoration of seafood, dishes, and cooking utensils—trays, bowls, eared cups, and skewers.</p>
",Gray earthenware with molded relief decoration,33.5 × 24.7 × 13.5 cm (13 3/16 × 9 3/4 × 5 5/16 in.),,,,Gift of Mrs. Potter Palmer,Arts of Asia,Chinese (culture or style),Sculpture,,,"https://www.artic.edu/iiif/2/d5565b76-89c0-a393-cd73-7c729cdfccf2/full/843,/0/default.jpg",chinese_art_images\9.jpg
11091,Monk,China,Sui Dynasty (589–618 A.D.),China,Arts of Asia,"<p>Expressing serene dignity, <a href=""https://www.artic.edu/collection?q=monk&department_ids=Asian+Art&classification_ids=sculpture%3Bstone"">these youthful monks</a> stand erect, their eyes downcast and hands firmly joined in reverent prayer. Their long earlobes allude to earrings that were worn by the Buddha as a young Indian prince and to his rejection of material wealth. Characteristic of Sui dynasty sculpture, the monks’ sharply defined facial features and the folds of their robes enhance the figures’ flat, understated modeling. Each of their robes was originally painted with rectangles of different colors, signifying the patchwork mantle worn by the Buddha and by pious monks who emulated his humble values. Only shadowy traces of these pigments are now evident.</p>
",Limestone with traces of polychromy,88.3 × 25.4 × 16.6 cm (34 3/4 × 10 × 6 1/2 in.),,,,Lucy Maud Buckingham Collection,Arts of Asia,Chinese (culture or style),Sculpture,,,"https://www.artic.edu/iiif/2/2ae5595f-390c-fa42-cd7e-c7d997456c8e/full/843,/0/default.jpg",chinese_art_images\10.jpg
