Title,Artist,Place of Origin,Date,Medium,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL
Pendant in the form of two dragons,,"Anyang, probably Henan province, China",ca. 1300-ca. 1050 BCE,Jade (nephrite),H x W x D: 4.5 x 3.3 x 0.6 cm (1 3/4 x 1 5/16 x 1/4 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Jewelry and Ornament,,,,,All_images1.0\image10001.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-S2012.9.339_001
Disk (bi),,China,18th century,Jade,Diam x D: 7.7 x 0.4 cm (3 1/16 x 3/16 in),Gift of Charles Lang Freer,,,Ceremonial Object,,,,,All_images1.0\image10002.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7624_35
Rider and horse,,China,206 BCE-220 CE,Lead,H x W: 3 x 3.1 cm (1 3/16 x 1 1/4 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10003.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7690_03
Poem by Cao Zhi in running-standard script,,China,late 19th century,Horizontal hanging scroll; ink on paper,H x W (image): 29.5 x 66.7 cm (11 5/8 x 26 1/4 in),Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image10004.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7380_15
Ornament (shi 飾) with mask,,"Hubei province, Middle Yangzi valley, China",ca. 2500 - 2000 BCE,Jade (nephrite),H x W x D: 7.9 x 4.5 x 0.7 cm (3 1/8 x 1 3/4 x 1/4 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.276.2",,,Jewelry and Ornament,,,,,All_images1.0\image10005.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-LTS1985.1.276.2_001
Tomb figure,,China,700-750,"Ceramic; modeled, glazed, and fired",H x W x D: 91.8 x 34.5 x 24.8 cm (36 1/8 x 13 9/16 x 9 3/4 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.329",,,Sculpture,,,,,All_images1.0\image10006.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-LTS1985.1.329.1_001
The Standing Figure of a Woman,Spurious signature of Yuan Qian (Mid-15th century),China,17th century,Ink and color on silk panel,H x W: 130.6 x 50.8 cm (51 7/16 x 20 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10007.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5755_07
Tube with masks,,"Anyang, probably Henan province, China",ca. 1300-ca. 1050 BCE,Jade (nephrite),H x W x D (overall): 5 x 3.5 x 3.5 cm (1 15/16 x 1 3/8 x 1 3/8 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Jewelry and Ornament,,,,,All_images1.0\image10008.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-S2012.9.240_001
Cong,,China,Date uncertain (possibly 1644-1911),Jade,H x W x D: 15.1 x 7.6 x 4.2 cm (5 15/16 x 3 x 1 5/8 in),Gift of Charles Lang Freer,,,Ceremonial Object,,,,,All_images1.0\image10009.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7313_75
Seal of Xie Zhiliu (1910-1997): Xie ji,Wu Zijian (born 1947),China,1973,Soapstone,H x W x D (overall): 1.9 x 1.4 x 3.2 cm (3/4 x 9/16 x 1 1/4 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10010.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6038_11
