Img_path,Credit Line,Portfolio,Materials,Artist,Markings,Publisher,On View,Department,School,Date,Inscribed,Classifications,Signed,(not entered),Dynasty,More Information,Img_url,Dimensions,Composer,Printer,Object number,Place of Origin,Period,Culture,Provenance Statement,Title
images/asian_chinese4.jpg,Gift of Boston Properties,,Oil on canvas,"Hung Liu (American, 1948 - 2021)",,,Not on view,Chinese Art,,1996,,Painting,,,,"Hung Liu grew up under the Maoist regime in China, where she was trained in socialist realism painting. She immigrated to California in 1984 to study art at the University of California, San Diego. Her paintings are often based on archival photographs, which she “both preserves and destroys” through signature washes and drips that overlay her compositions. Her paintings recreate Gold Rush-period photographs of Chinese junks, sailing vessels with fully battened sails that played an important role in intercontinental trade during the nineteenth century. The works’ title, The Long Wharf , references a San Francisco wharf built in 1848 in what is now the city’s financial district.",https://searchcollection.asianart.org/internal/media/dispatcher/73896/preview,Overall: H. 54 3/16 in × W. 36 1/16 in × D. 1 9/16 in (137.6 cm × 91.6 cm × 4 cm),,,F2000.51.2,,,,,"The Long Wharf: Chinese Junks (The Three Graces) (From an Archival Photograph, Circa 1885)"
images/asian_chinese5.jpg,Gift of Boston Properties,,Oil on canvas,"Hung Liu (American, 1948 - 2021)",,,Not on view,Chinese Art,,1996,,Painting,,,,"Hung Liu grew up under the Maoist regime in China, where she was trained in socialist realism painting. She immigrated to California in 1984 to study art at the University of California, San Diego. Her paintings are often based on archival photographs, which she “both preserves and destroys” through signature washes and drips that overlay her compositions. Her paintings recreate Gold Rush-period photographs of Chinese junks, sailing vessels with fully battened sails that played an important role in intercontinental trade during the nineteenth century. The works’ title, The Long Wharf , references a San Francisco wharf built in 1848 in what is now the city’s financial district.",https://searchcollection.asianart.org/internal/media/dispatcher/73897/preview,"H. 54 1/4 in x W. 36 in x D. 1 1/2 in, H. 137.8 cm x W. 91.4 cm x D. 3.8 cm",,,F2000.51.3,,,,,"The Long Wharf: Chinese Junks (The Three Graces) (From an Archival Photograph, Circa 1885)"
images/asian_chinese11.jpg,Gift of Mrs. Ursula W. Bingham,,Silk damask with embroidered satin weave silk collar and bands,,,,Not on view,Chinese Art,,approx. 1850-1911,,Textiles,,,Qing dynasty (1644-1911),"During the Qing dynasty, laws forbade people of Manchu descent to wear Chinese clothing, although women had more latitude in styles than men. The style of this robe suggests that it was worn by a Han Chinese woman rather than a Manchu woman: the wide sleeves cut all in one with the body of the robe along a central seam and the neckline with a stand-up collar are common details for native Chinese dress. The robe would have also been paired with a pleated skirt—a traditional outfit for Han Chinese women. The body of this robe is silk damask with a woven design of the attributes of the Eight Taoist Immortals: fan, gourd and iron crutch, fish drum, lotus, basket of flowers or peaches, sword and fly whisk, pair of beaters for keeping time, and flute. The white satin trim along the hem and the ""cloud collar"" is embroidered with depictions of women engaged in various virtuous pursuits such as the Four Scholarly Pursuits ( siyi ): playing the qin musical instrument, playing chess, reading, and painting. The cloud collar ( yunjian ) is the four-pointed scrolled motif covering the neckline and shoulder of the robe. Resembling the heads of the ruyi wish-granting wand, the cloud collar symbolizes the blessing of ""may all your wishes come true"" ( shishi ruyi ).",https://searchcollection.asianart.org/internal/media/dispatcher/66756/preview,"H. 39 3/4 in x W. 61 1/2 in, H. 100.1 cm x W. 156.2 cm",,,1988.32.30,China,,,,Chinese woman's formal domestic short coat
images/asian_chinese12.jpg,Gift of Roy Leventritt,,Porcelain with painted blue decoration under white glaze with minor crackles,,"Daoguang mark of the period.  The four character mark at the base reads: ""Produced during the Daoguang reign.""",,Not on view,Chinese Art,,,,Ceramics,,,"Qing dynasty (1644-1911), Reign of the Daoguang emperor (1821-1850)",,https://searchcollection.asianart.org/internal/media/dispatcher/24230/preview,H. 3 in,,,B69P209L,"Jingdezhen, Jiangxi province, China",,,,Snuff bottle with scholars playing Chinese chess
images/asian_chinese23.jpg,"Transfer from the Fine Arts Museums of San Francisco, Bequest of Isabella M. Cowell",,"Lacquer with soapstone, pearl, coral, and mother-of-pearl inlay",,,,On view,Chinese Art,,1800-1900,,Decorative Arts,,,,The theme of children among lotus implies a wish for sons and grandsons to live in harmony. Japan went into the business of producing Chinese-style snuff bottles because of the high demand from collectors. Scholarship in the past twenty years reveals such bottles to be Japanese rather than Chinese.,https://searchcollection.asianart.org/internal/media/dispatcher/28205/preview,"H. 4 1/8 in x W. 2 5/8 in Diam. 3/4 in, H. 10.4 cm x W. 6.5 cm x Diam. 3/4 cm",,,B81M7,"Kyoto, Japan",,,,Chinese-style snuff bottle
images/asian_chinese24.jpg,The Avery Brundage Collection,,Porcelain wtih blue and red on white ground,,,,Not on view,Chinese Art,,Transitional (ca. 1600 - 1650),,Ceramics,,,,,https://searchcollection.asianart.org/internal/media/dispatcher/17068/preview,"H. 4 in x Diam. 15 in, H. 10.2 cm x Diam. 38.1 cm",,,B60P1124,"Fujian province, China",,,,Shallow bowl
images/asian_chinese25.jpg,The Avery Brundage Collection,,Wood,,,,Not on view,Chinese Art,,prob. 1700-1850,,Decorative Arts,,,Qing dynasty (1644-1911),,https://searchcollection.asianart.org/internal/media/dispatcher/20910/preview,H. 81 1/2 in x W. 22 1/2 in,,,B62M66.a,China,,,,"Stand for Chinese lantern, one of two"
images/asian_chinese31.jpg,Gift of Hok Pui Leung and Sally Yu Leung in memory of their fathers Poon On Leung and Dr. Tin Wah Yu,,Satin and damask with resist design,,,,Not on view,Chinese Art,,1880-1930,,Textiles,,,,,https://searchcollection.asianart.org/internal/media/dispatcher/8896/preview,"H. 37 1/4 in x W. 13 in, H. 95 cm x W. 33 cm",,,2007.62.a-.b,China,,,,Chinese woman's skirt with resist design
images/asian_chinese32.jpg,Gift of Hok Pui Leung and Sally Yu Leung in memory of their fathers Poon On Leung and Dr. Tin Wah Yu,,Gauze with gold couched embroidery,,,,Not on view,Chinese Art,,1880-1930,,Textiles,,,,,https://searchcollection.asianart.org/internal/media/dispatcher/8897/preview,"H. 38 1/4 in x W. 14 1/4 in, H. 97 cm x W. 36 cm",,,2007.63,China,,,,Chinese woman's skirt
images/asian_chinese33.jpg,Gift of Hok Pui Leung and Sally Yu Leung in memory of their fathers Poon On Leung and Dr. Tin Wah Yu,,Gauze with gold and silver couched embroidery,,,,Not on view,Chinese Art,,approx. 1875-1900,,Textiles,,,Qing dynasty (1644-1911),,https://searchcollection.asianart.org/internal/media/dispatcher/8898/preview,"H. 36 in x W. 13 in, H. 91 cm x W. 33 cm",,,2007.64.a-.b,China,,,,Chinese woman's hundred pleats skirt
