title,time,description,detail_url,image_url
Tree Peonies in Full Bloom,"Qing dynasty (1644–1911), dated 1911",,https://www.artic.edu/artworks/25247,"https://www.artic.edu/iiif/2/d2b56c9c-0824-9d66-fab6-2b02493f6855/full/843,/0/default.jpg"
Portrait of Ellen Andrée,c. 1876,,https://www.artic.edu/artworks/4942,"https://www.artic.edu/iiif/2/4d8397c5-e392-f6ec-4d6a-cbdfc556b036/full/843,/0/default.jpg"
Boat-Shaped Dish,c. 1820,,https://www.artic.edu/artworks/15010,"https://www.artic.edu/iiif/2/87ba830c-678a-b582-1ace-8c2dda4cfcc3/full/843,/0/default.jpg"
Waiting,c. 1879,,https://www.artic.edu/artworks/7111,"https://www.artic.edu/iiif/2/d5d7acaf-e247-5e04-6c27-7825bba63ed2/full/843,/0/default.jpg"
China Boy,1980,,https://www.artic.edu/artworks/143675,"https://www.artic.edu/iiif/2/3ec6d704-7793-7004-3724-a6c0aec3e54f/full/843,/0/default.jpg"
Teapot Stand,c. 1815,,https://www.artic.edu/artworks/15014,"https://www.artic.edu/iiif/2/dde0093c-f839-46fc-4ae3-7f2412b5e6ce/full/843,/0/default.jpg"
Plate,c. 1820,,https://www.artic.edu/artworks/15012,"https://www.artic.edu/iiif/2/9e22eb85-7251-0a2e-c56d-22b71115835e/full/843,/0/default.jpg"
"Bombing, China",1945,,https://www.artic.edu/artworks/220492,"https://www.artic.edu/iiif/2/034eca79-fed5-4266-6153-775b1e10015f/full/843,/0/default.jpg"
"Nude Model, Standing",probably 1891,,https://www.artic.edu/artworks/139465,"https://www.artic.edu/iiif/2/f86c4281-ef8e-4922-605b-8fa886a901e5/full/843,/0/default.jpg"
"Peking, China",1957,,https://www.artic.edu/artworks/22746,"https://www.artic.edu/iiif/2/d6235041-ad61-acbd-ece9-a336037b9e2d/full/843,/0/default.jpg"
Liverdun,1858,,https://www.artic.edu/artworks/19935,"https://www.artic.edu/iiif/2/289638d4-9b19-4ef3-f72d-4c6f0ae4f7e9/full/843,/0/default.jpg"
A Lady Seated,1893,,https://www.artic.edu/artworks/73995,"https://www.artic.edu/iiif/2/5bc9f1b1-b4df-283d-af7a-fd763b913fe0/full/843,/0/default.jpg"
Articles of China,1843-44,,https://www.artic.edu/artworks/227552,"https://www.artic.edu/iiif/2/252bafc9-bd60-4ccc-c133-9e0e0b9c5327/full/843,/0/default.jpg"
Yoke-Back Armchair,"Late Ming or early Qing dynasty, 17th century",,https://www.artic.edu/artworks/60915,
Annie,1857/58,,https://www.artic.edu/artworks/20000,"https://www.artic.edu/iiif/2/12643adb-a6be-5a36-8872-e006ce6880a7/full/843,/0/default.jpg"
La Vieille aux Loques (The Old Woman with Rags),1858,,https://www.artic.edu/artworks/138054,"https://www.artic.edu/iiif/2/0642de3e-db46-4169-b7fb-fe471ea88614/full/843,/0/default.jpg"
"Ordos 100, Lot 006, Inner Mongolia, China",2008,,https://www.artic.edu/artworks/198854,"https://www.artic.edu/iiif/2/c057b163-5fb2-24de-886f-af4c24cbec85/full/843,/0/default.jpg"
"The Emperor Sailing, from The Story of the Emperor of China",1716/22,,https://www.artic.edu/artworks/189775,"https://www.artic.edu/iiif/2/17455fc4-14ec-b892-93d2-ebf89c7c689e/full/843,/0/default.jpg"
St. Peter’s Seen Through the Porta Angelica,n.d.,,https://www.artic.edu/artworks/32740,"https://www.artic.edu/iiif/2/27493885-3545-f65a-2971-06a8d17d0818/full/843,/0/default.jpg"
Woman with Basket,1926,,https://www.artic.edu/artworks/4882,
"New York Times, Horizontal/China Times, Vertical",1971–79,,https://www.artic.edu/artworks/119371,"https://www.artic.edu/iiif/2/1b549824-64bf-6975-7148-b88d9a4a1507/full/843,/0/default.jpg"
Ladislav Sutnar china (with black rim),1932,,https://www.artic.edu/artworks/199136,"https://www.artic.edu/iiif/2/45d89dd3-d107-0378-6493-2618f453c227/full/843,/0/default.jpg"
