Title,Artist,Place of Origin,Date,Medium,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL
Arrowhead with elongated triangular tip,,"Changsha, Hunan province, China",,,W (overall): 13 cm (5 1/8 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Weapon and Armament,,,,,All_images1.0\image3515.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-569
Fragments from a wooden sword sheath,,"tomb site, Changsha, China",,Lacquer,,Gift of the John Hadley Cox Archaeological Study Collection,,,Weapon and Armament,,,,,All_images1.0\image3516.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-L-28
Charm or coin,,China,,Metal,H x Diam: 0.2 × 2.5 cm (1/16 × 1 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image3517.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8321_07
Cover of funerary jar with part of flange broken off,,China,13th century,Porcelain with transparent pale-blue (qingbai) glaze,,Gift of Mr. Yokota,,,Vessel,,,,,All_images1.0\image3518.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2114_1-000001
Inscribed circular object,,"tomb site, Changsha, China",,,H x W (overall): 1.8 x 1.3 cm (11/16 x 1/2 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Unclassified,,,,,All_images1.0\image3519.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-M-71a-c_1
Axle cap and linchpin,,China,3rd-1st century BCE,Bronze,H x Diam: 3.2 x 2.5 cm (1 1/4 x 1 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Tool and Equipment,,,,,All_images1.0\image3520.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7676_05
Two Bosses,,"North Gate of Changsha Tomb, China",,,H x W (overall): 1.1 x 2.3 cm (7/16 x 7/8 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Tool and Equipment,,,,,All_images1.0\image3521.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-564a-b
Ring,,China,ca. 2000-1050 BCE,Jade,H x Diam (overall): 0.5 x 13.7 cm (3/16 x 5 3/8 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Ceremonial Object,,,,,All_images1.0\image3522.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7665_20
Head of a bodhisattva,,China,581-618,"Dark gray, fine-grained limestone",H x W x D: 25 x 20.3 x 20.3 cm (9 13/16 x 8 x 8 in),Purchase — Charles Lang Freer Endowment,,,Sculpture,,,,,All_images1.0\image3523.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6699_01
Comb,,"Changsha Tomb site, China",,,H x W (overall): 8.3 x 4.5 cm (3 1/4 x 1 3/4 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Tool and Equipment,,,,,All_images1.0\image3524.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-W-21
Inkstick,,China,1873,Soot and glue with gold and green pigment and lacquer,H x W: 9.3 x 2.2 cm (3 11/16 x 7/8 in),Gift of Marguerite Church,,,Tool and Equipment,,,,,All_images1.0\image3525.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7777_25
"Dagger-axe (ge), fragment",,China,ca. 1300-1050 BCE,Jade,H x W x D (overall): 12 x 5.6 x 0.6 cm (4 3/4 x 2 3/16 x 1/4 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Ceremonial Object,,,,,All_images1.0\image3526.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7859_57
Reclining animal from lid of ting(?),,"North Gate of Changsha Tomb, China",,,H x W x D (overall): 3.5 x 2.2 x 4.3 cm (1 3/8 x 7/8 x 1 11/16 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Vessel,,,,,All_images1.0\image3527.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-583_1
One large animal tooth,,"North Gate of Changsha Tomb, China",,Tooth,H x W (overall): 4.6 x 3.7 cm (1 13/16 x 1 7/16 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Natural Material,,,,,All_images1.0\image3528.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-O-25
Kneeling figure,,China,,Jade,H x W x D (overall): 3.7 x 1.5 x 2 cm (1 7/16 x 9/16 x 13/16 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Jewelry and Ornament,,,,,All_images1.0\image3529.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7861_12
"Plaque from a book, The Canon of Yao",,China,18th-early 19th century,"Jade, gold pigment",H x W x D: 0.3 x 9 x 9 cm (1/8 x 3 9/16 x 3 9/16 in),"Transfer from the National Museum of Natural History, Department of Minerology, Smithsonian Institution",,,Book,,,,,All_images1.0\image3530.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6893_09
